Discipline; hours_prep;str_info; Sample_exam;MCQ_questions_clear;open_questions _clear;"                                                                             
difficulty "; chall_quest;time _sufficient;tech_dif;sit
PDH_BG;1;Agree;Agree;Agree;Agree;7;MAO;6;0;summer
PDH_BG;1;Agree;Agree;Neutral;Agree;8;MAO;5;0;summer
MCA;1;Agree;Agree;Agree;Agree;7;Open;5;1;summer
MCA;1;Agree;Neutral;Agree;Agree;10;Ranking;2;0;summer
PDH_BG;2;Agree;Agree;Agree;Agree;7;MAO;7;0;summer
PDH_BG;2;Agree;Agree;Agree;Agree;4;MAO;8;0;summer
PDH_BG;2;Agree;Agree;Agree;Agree;7;MAO;5;0;summer
PDH_BG;2;Agree;Agree;Neutral;Agree;7;MAO;7;0;summer
PDH_BG;2;Agree;Agree;Disagree;Neutral;9;MAO;1;0;summer
PDH_BG;2;Agree;Agree;Neutral;Agree;6;MAO;5;0;summer
MCA;2;Agree;Agree;Agree;Agree;8;Open;9;0;summer
SMMEII_BG;2;Agree;Disagree;Agree;Agree;9;MAO;4;0;summer
SMMEII_BG;2;Agree;Agree;Agree;Agree;8;Open;1;0;summer
SMMEII_BG;2;Agree;Disagree;Neutral;Disagree;10;Open;0;0;summer
SMMEII_BG;2;Neutral;Agree;Agree;Neutral;9;Open;3;0;summer
PDH_BG;3;Agree;Agree;Agree;Disagree;9;MAO;0;0;summer
PDH_BG;3;Agree;Agree;Agree;Neutral;8;MAO;3;0;summer
PDH_BG;3;Agree;Agree;Agree;Agree;7;MAO;5;0;summer
SMME_DM_BG;3;Agree;Agree;Agree;Agree;8;MAO;8;1;summer
PDH_BG;3;Agree;Agree;Neutral;Agree;8;MAO;5;0;summer
PDH_BG;3;Agree;Agree;Neutral;Agree;5;MAO;5;0;summer
PDH_BG;3;Agree;Agree;Agree;Agree;7;MAO;5;0;summer
PDH_BG;3;Agree;Agree;Agree;Agree;10;MAO;1;0;summer
MCA;3;Agree;Neutral;Agree;Agree;9;Ranking;3;0;summer
PDH_BG;3;Agree;Neutral;Agree;Agree;8;MAO;3;0;summer
PDH_BG;3;Agree;Agree;Agree;Agree;9;MAO;6;0;summer
PDH_BG;3;Neutral;Agree;Agree;Neutral;10;MAO;3;0;summer
PDH_BG;3;Agree;Agree;Neutral;Agree;8;MAO;9;0;summer
MCA;3;Agree;Agree;Agree;Agree;5;Open;5;0;summer
MCA;3;Neutral;Agree;Agree;Agree;7;Open;9;0;summer
MCA;3;Agree;Agree;Agree;Agree;4;Open;10;0;summer
MCA;3;Agree;Agree;Agree;Agree;6;Ranking;4;0;summer
MCA;3;Agree;Agree;Agree;Agree;8;Ranking;3;0;summer
MCA;3;Agree;Agree;Agree;Agree;7;Open;5;0;summer
MCA;3;Agree;Neutral;Agree;Neutral;9;Ranking;3;0;summer
MCA;3;Agree;Agree;Agree;Agree;8;Open;9;0;summer
PDH_BG;3;Agree;Agree;Agree;Agree;8;MAO;4;0;summer
SMMEII_BG;3;Neutral;Agree;Agree;Disagree;6;Open;3;0;summer
SMMEII_BG;3;Agree;Agree;Neutral;Disagree;8;Open;4;0;summer
SMMEII_BG;3;Agree;Agree;Agree;Agree;8;MAO;5;0;summer
SMMEII_BG;3;Agree;Agree;Neutral;Agree;8;MAO;4;0;summer
SMMEII_BG;3;Agree;Agree;Agree;Agree;7;MAO;7;0;summer
SMMEII_BG;3;Neutral;Agree;Agree;Agree;9;MAO;5;0;summer
SMMEII_BG;3;Agree;Agree;Neutral;Agree;8;Ranking;4;0;summer
SMMEII_BG;3;Agree;Agree;Disagree;Agree;10;Ranking;2;0;summer
SMMEII_BG;3;Agree;Agree;Agree;Agree;8;MAO;4;0;summer
SMMEII_BG;3;Agree;Neutral;Agree;Disagree;6;Open;3;0;summer
SMMEII_BG;3;Agree;Agree;Agree;Agree;6;Open;4;0;summer
SMMEII_BG;3;Neutral;Agree;Agree;Agree;10;MAO;3;0;summer
SMMEII_BG;3;Neutral;Agree;Neutral;Disagree;10;Open;7;0;summer
SMMEII_BG;3;Agree;Agree;Neutral;Neutral;8;Open;10;0;summer
SMMEII_BG;3;Agree;Agree;Agree;Agree;7;MAO;3;0;summer
SMMEII_BG;3;Disagree;Neutral;Disagree;Agree;5;SAO;1;0;summer
SMMEII_BG;3;Neutral;Agree;Agree;Agree;7;Open;3;0;summer
SMMEII_BG;3;Disagree;Agree;Agree;Disagree;9;Open;3;0;summer
SMMEII_BG;3;Agree;Agree;Agree;Agree;8;Open;3;0;summer
SMMEII_BG;3;Agree;Agree;Neutral;Neutral;10;Open;0;0;summer
PDH_BG;4;Agree;Agree;Agree;Agree;7;MAO;4;0;summer
PDH_BG;4;Agree;Agree;Agree;Agree;7;MAO;4;0;summer
PDH_BG;4;Agree;Agree;Agree;Agree;10;Open;10;0;summer
PDH_BG;4;Agree;Agree;Agree;Agree;5;MAO;5;0;summer
PDH_BG;4;Agree;Agree;Neutral;Agree;7;MAO;2;0;summer
SMME_DM_BG;4;Agree;Agree;Neutral;Neutral;5;MAO;6;0;summer
SMMEII_BG;4;Agree;Agree;Neutral;Agree;9;MAO;4;0;summer
PDH_BG;4;Agree;Agree;Neutral;Neutral;8;MAO;4;0;summer
PDH_BG;4;Agree;Neutral;Agree;Agree;8;MAO;6;0;summer
SMMEII_BG;4;Agree;Agree;Agree;Agree;8;MAO;1;0;summer
PDH_BG;4;Agree;Agree;Agree;Agree;6;MAO;1;0;summer
PDH_BG;4;Agree;Agree;Agree;Agree;6;MAO;4;0;summer
PDH_BG;4;Agree;Neutral;Agree;Agree;6;MAO;4;0;summer
PDH_BG;4;Agree;Disagree;Agree;Agree;8;Open;9;0;summer
PDH_BG;4;Agree;Neutral;Agree;Agree;7;MAO;7;0;summer
PDH_BG;4;Agree;Agree;Agree;Agree;7;MAO;2;0;summer
PDH_BG;4;Agree;Neutral;Agree;Neutral;9;MAO;7;0;summer
PDH_BG;4;Agree;Agree;Neutral;Agree;8;MAO;0;0;summer
PDH_BG;4;Neutral;Agree;Agree;Agree;10;MAO;6;0;summer
MCA;4;Agree;Agree;Agree;Agree;5;Open;10;0;summer
MCA;4;Agree;Agree;Agree;Agree;5;MAO;10;0;summer
MCA;4;Agree;Agree;Agree;Agree;5;Open;5;0;summer
MCA;4;Agree;Agree;Agree;Agree;5;MAO;5;0;summer
MCA;4;Agree;Agree;Agree;Agree;7;Ranking;4;0;summer
MCA;4;Agree;Agree;Agree;Agree;10;Ranking;10;0;summer
MCA;4;Agree;Agree;Agree;Agree;7;Ranking;9;0;summer
MCA;4;Agree;Agree;Agree;Agree;10;Figures;6;1;summer
MCA;4;Agree;Agree;Agree;Agree;9;Open;2;0;summer
MCA;4;Agree;Agree;Agree;Agree;9;Ranking;6;0;summer
MCA;4;Agree;Agree;Agree;Agree;6;Open;10;0;summer
SMMEII_BG;4;Agree;Agree;Agree;Agree;5;MAO;10;0;summer
SMMEII_BG;4;Agree;Agree;Agree;Agree;6;Ranking;4;0;summer
SMMEII_BG;4;Agree;Agree;Neutral;Agree;8;MAO;2;0;summer
SMMEII_BG;4;Agree;Agree;Agree;Agree;8;MAO;5;0;summer
SMMEII_BG;4;Agree;Agree;Neutral;Agree;8;MAO;6;0;summer
SMMEII_BG;4;Agree;Agree;Neutral;Neutral;8;MAO;8;0;summer
SMMEII_BG;4;Agree;Agree;Agree;Agree;7;Open;2;0;summer
SMMEII_BG;4;Disagree;Disagree;Disagree;Neutral;8;MAO;1;0;summer
SMMEII_BG;4;Neutral;Disagree;Disagree;Disagree;10;Open;4;0;summer
SMMEII_BG;4;Agree;Agree;Agree;Agree;8;SAO;0;0;summer
SMMEII_BG;4;Agree;Agree;Neutral;Neutral;8;MAO;3;0;summer
SMMEII_BG;4;Agree;Agree;Agree;Neutral;7;MAO;6;0;summer
SMMEII_BG;4;Agree;Agree;Agree;Agree;7;MAO;4;0;summer
SMMEII_BG;4;Agree;Agree;Neutral;Agree;9;Open;3;0;summer
SMMEII_BG;4;Neutral;Neutral;Agree;Agree;6;MAO;5;0;summer
SMMEII_BG;4;Agree;Agree;Agree;Agree;8;MAO;4;0;summer
SMMEII_BG;4;Agree;Agree;Agree;Agree;7;MAO;4;0;summer
SMMEII_BG;4;Agree;Agree;Agree;Agree;9;Open;3;0;summer
SMMEII_BG;4;Agree;Agree;Agree;Agree;10;MAO;5;0;summer
SMMEII_BG;4;Agree;Agree;Agree;Agree;9;Open;8;0;summer
SMMEII_BG;4;Agree;Agree;Agree;Agree;8;Open;2;0;summer
SMME_DM_BG;5;Agree;Agree;Agree;Agree;10;MAO;5;0;summer
PDH_BG;5;Agree;Agree;Agree;Agree;8;MAO;2;0;summer
PDH_BG;5;Agree;Agree;Agree;Neutral;9;MAO;2;0;summer
PDH_BG;5;Agree;Neutral;Neutral;Agree;8;MAO;4;0;summer
SMME_DM_BG;5;Agree;Agree;Agree;Agree;7;Open;7;0;summer
SMME_DM_BG;5;Agree;Agree;Agree;Agree;7;Open;2;0;summer
SMMEII_BG;5;Agree;Agree;Agree;Agree;8;Open;5;0;summer
PDH_BG;5;Agree;Agree;Agree;Agree;5;MAO;6;0;summer
PDH_BG;5;Agree;Agree;Agree;Agree;10;MAO;5;0;summer
PDH_BG;5;Neutral;Neutral;Agree;Neutral;5;MAO;4;0;summer
SMME_DM_BG;5;Agree;Agree;Agree;Agree;7;MAO;4;0;summer
PDH_BG;5;Agree;Neutral;Agree;Agree;8;MAO;5;0;summer
PDH_BG;5;Agree;Agree;Agree;Neutral;9;MAO;1;0;summer
PDH_BG;5;Agree;Agree;Agree;Agree;8;MAO;8;0;summer
PDH_BG;5;Agree;Agree;Neutral;Agree;7;MAO;1;0;summer
MCA;5;Agree;Agree;Agree;Agree;8;Open;7;0;summer
MCA;5;Agree;Agree;Agree;Agree;8;Open;10;0;summer
MCA;5;Agree;Agree;Agree;Agree;8;Open;4;0;summer
MCA;5;Neutral;Agree;Agree;Agree;5;Open;3;0;summer
MCA;5;Agree;Agree;Agree;Agree;7;Open;8;0;summer
MCA;5;Agree;Agree;Agree;Agree;5;Open;6;0;summer
MCA;5;Agree;Agree;Agree;Agree;8;Open;2;0;summer
MCA;5;Agree;Agree;Agree;Agree;6;Open;7;0;summer
MCA;5;Agree;Agree;Agree;Agree;10;Open;10;0;summer
MCA;5;Agree;Agree;Agree;Agree;9;Open;6;0;summer
MCA;5;Agree;Agree;Agree;Agree;5;Ranking;3;0;summer
MCA;5;Agree;Disagree;Agree;Neutral;7;Open;3;0;summer
MCA;5;Agree;Neutral;Agree;Agree;8;Open;3;0;summer
MCA;5;Agree;Agree;Agree;Agree;7;Ranking;8;0;summer
MCA;5;Agree;Neutral;Agree;Neutral;7;Ranking;3;0;summer
SMMEII_BG;5;Disagree;Agree;Agree;Neutral;8;MAO;1;0;summer
SMMEII_BG;5;Agree;Agree;Neutral;Neutral;9;MAO;2;0;summer
SMMEII_BG;5;Neutral;Neutral;Neutral;Neutral;10;MAO;0;0;summer
SMMEII_BG;5;Agree;Agree;Agree;Agree;8;MAO;6;0;summer
SMMEII_BG;5;Agree;Agree;Neutral;Neutral;7;Open;4;0;summer
SMMEII_BG;5;Agree;Agree;Agree;Agree;8;Open;5;0;summer
SMMEII_BG;5;Agree;Agree;Agree;Agree;7;MAO;8;0;summer
SMMEII_BG;5;Agree;Agree;Agree;Neutral;8;Open;10;1;summer
SMMEII_BG;5;Neutral;Agree;Disagree;Disagree;9;MAO;3;0;summer
SMMEII_BG;5;Neutral;Neutral;Neutral;Neutral;9;MAO;1;0;summer
SMMEII_BG;5;Agree;Agree;Neutral;Neutral;10;MAO;1;1;summer
SMMEII_BG;5;Agree;Agree;Agree;Agree;9;Open;2;0;summer
SMMEII_BG;5;Neutral;Agree;Neutral;Neutral;8;Open;0;0;summer
SMMEII_BG;5;Agree;Agree;Agree;Neutral;10;Open;0;0;summer
SMMEII_BG;5;Neutral;Agree;Agree;Agree;8;Open;3;0;summer
SMMEII_BG;5;Agree;Neutral;Agree;Neutral;4;Open;1;0;summer
SMMEII_BG;5;Neutral;Agree;Neutral;Disagree;9;Figures;5;0;summer
SMMEII_BG;5;Agree;Agree;Agree;Agree;9;Open;5;0;summer
SMMEII_BG;5;Agree;Agree;Agree;Neutral;7;Open;2;0;summer
SMMEII_BG;5;Agree;Agree;Agree;Agree;9;Open;2;0;summer
SMMEII_BG;5;Agree;Agree;Agree;Agree;7;Open;4;0;summer
SMMEII_BG;5;Agree;Agree;Agree;Agree;10;Open;5;0;summer
SMMEII_BG;5;Agree;Agree;Neutral;Disagree;9;Ranking;1;0;summer
SMMEII_BG;5;Agree;Agree;Agree;Agree;7;Open;10;0;summer
SMMEII_BG;5;Agree;Agree;Agree;Agree;7;MAO;3;0;summer
SMMEII_BG;5;Agree;Neutral;Neutral;Agree;9;Open;3;0;summer
SMMEII_BG;5;Agree;Neutral;Agree;Neutral;10;Open;0;0;summer
SMMEII_BG;5;Agree;Agree;Agree;Agree;10;MAO;2;0;summer
SMMEII_BG;5;Neutral;Agree;Neutral;Neutral;10;MAO;0;0;summer
SMMEII_BG;5;Agree;Agree;Agree;Agree;8;Open;5;0;summer
SMMEII_BG;5;Agree;Agree;Agree;Agree;10;MAO;10;0;summer
SMMEII_BG;5;Agree;Agree;Agree;Agree;7;Open;6;0;summer
SMMEII_BG;5;Agree;Agree;Neutral;Neutral;10;Open;3;0;summer
SMMEII_BG;5;Agree;Agree;Agree;Agree;9;MAO;6;0;summer
SMMEII_BG;5;Agree;Agree;Agree;Neutral;9;Open;1;0;summer
SMMEII_BG;5;Agree;Agree;Agree;Neutral;8;Open;5;0;summer
SMMEII_BG;5;Agree;Agree;Agree;Agree;7;Open;8;0;summer
SMMEII_BG;5;Agree;Agree;Agree;Agree;8;MAO;5;0;summer
SMMEII_BG;5;Agree;Agree;Agree;Agree;9;Open;2;0;summer
SMMEII_BG;5;Agree;Agree;Agree;Agree;8;Ranking;4;1;summer
PDH_BG;6;Agree;Agree;Agree;Agree;7;MAO;5;0;summer
SMMEII_BG;6;Agree;Agree;Agree;Agree;5;MAO;6;0;summer
PDH_BG;6;Disagree;Disagree;Neutral;Neutral;9;MAO;4;0;summer
PDH_BG;6;Agree;Agree;Neutral;Agree;10;MAO;2;0;summer
PDH_BG;6;Agree;Agree;Agree;Agree;8;MAO;8;0;summer
PDH_BG;6;Agree;Agree;Agree;Agree;7;MAO;6;0;summer
PDH_BG;6;Agree;Neutral;Agree;Agree;9;MAO;3;0;summer
PDH_BG;6;Agree;Agree;Agree;Agree;7;MAO;6;0;summer
PDH_BG;6;Agree;Agree;Agree;Agree;10;MAO;6;0;summer
PDH_BG;6;Neutral;Disagree;Disagree;Disagree;9;MAO;5;0;summer
PDH_BG;6;Agree;Agree;Agree;Agree;6;MAO;5;0;summer
PDH_BG;6;Agree;Agree;Agree;Agree;10;MAO;7;0;summer
PDH_BG;6;Agree;Agree;Neutral;Agree;9;MAO;3;0;summer
PDH_BG;6;Agree;Disagree;Agree;Agree;8;MAO;2;0;summer
PDH_BG;6;Neutral;Agree;Agree;Agree;10;MAO;6;0;summer
PDH_BG;6;Agree;Agree;Neutral;Agree;8;MAO;6;0;summer
PDH_BG;6;Agree;Neutral;Agree;Agree;6;MAO;5;0;summer
PDH_BG;6;Agree;Agree;Agree;Agree;10;Open;6;0;summer
SMME_DM_BG;6;Agree;Agree;Agree;Agree;8;MAO;7;0;summer
PDH_BG;6;Agree;Agree;Neutral;Agree;8;MAO;7;0;summer
PDH_BG;6;Agree;Agree;Neutral;Agree;10;MAO;6;0;summer
PDH_BG;6;Agree;Neutral;Disagree;Neutral;8;MAO;1;0;summer
PDH_BG;6;Agree;Agree;Agree;Agree;7;MAO;10;0;summer
SMME_DM_BG;6;Agree;Agree;Agree;Agree;8;MAO;7;0;summer
PDH_BG;6;Neutral;Neutral;Neutral;Neutral;8;MAO;4;0;summer
MCA;6;Agree;Agree;Agree;Agree;5;MAO;10;0;summer
MCA;6;Agree;Agree;Agree;Agree;5;MAO;10;0;summer
MCA;6;Agree;Agree;Agree;Agree;5;Ranking;5;0;summer
MCA;6;Agree;Agree;Agree;Agree;7;Ranking;5;0;summer
MCA;6;Agree;Agree;Agree;Agree;9;Open;2;0;summer
MCA;6;Agree;Agree;Agree;Agree;9;Ranking;2;0;summer
MCA;6;Agree;Agree;Agree;Agree;6;Open;7;0;summer
MCA;6;Agree;Agree;Agree;Agree;10;Open;1;0;summer
MCA;6;Agree;Agree;Neutral;Neutral;9;Open;3;0;summer
MCA;6;Agree;Agree;Agree;Agree;7;MAO;8;0;summer
SMMEII_BG;6;Agree;Neutral;Agree;Agree;6;SAO;10;0;summer
SMMEII_BG;6;Agree;Agree;Agree;Neutral;7;MAO;6;0;summer
SMMEII_BG;6;Agree;Neutral;Neutral;Agree;8;Open;4;0;summer
SMMEII_BG;6;Agree;Agree;Neutral;Agree;9;MAO;2;0;summer
SMMEII_BG;6;Agree;Agree;Agree;Agree;5;Ranking;6;0;summer
SMMEII_BG;6;Agree;Agree;Agree;Agree;5;Open;7;0;summer
SMMEII_BG;6;Agree;Agree;Agree;Agree;10;Open;1;1;summer
SMMEII_BG;6;Agree;Agree;Agree;Agree;10;Open;1;0;summer
SMMEII_BG;6;Agree;Agree;Agree;Agree;9;Open;5;0;summer
SMMEII_BG;6;Agree;Agree;Agree;Agree;7;Open;2;0;summer
SMMEII_BG;6;Agree;Agree;Agree;Agree;8;Open;7;0;summer
SMMEII_BG;6;Agree;Agree;Agree;Agree;7;MAO;10;0;summer
SMMEII_BG;6;Agree;Agree;Agree;Agree;6;MAO;4;0;summer
SMMEII_BG;6;Agree;Agree;Agree;Agree;8;MAO;2;0;summer
SMMEII_BG;6;Neutral;Agree;Agree;Neutral;7;MAO;0;0;summer
SMMEII_BG;6;Agree;Agree;Agree;Neutral;9;Ranking;1;0;summer
SMMEII_BG;6;Agree;Agree;Agree;Neutral;7;Ranking;4;0;summer
SMMEII_BG;6;Neutral;Agree;Agree;Agree;10;Open;0;0;summer
SMMEII_BG;6;Agree;Agree;Agree;Neutral;8;Open;4;0;summer
SMMEII_BG;6;Agree;Agree;Neutral;Neutral;7;MAO;2;0;summer
SMMEII_BG;6;Neutral;Neutral;Neutral;Neutral;5;Open;3;0;summer
SMMEII_BG;6;Agree;Agree;Agree;Neutral;9;MAO;1;1;summer
SMMEII_BG;6;Neutral;Agree;Disagree;Neutral;6;MAO;2;0;summer
SMMEII_BG;6;Agree;Disagree;Agree;Agree;9;MAO;0;0;summer
SMMEII_BG;6;Neutral;Agree;Neutral;Agree;9;Open;5;0;summer
SMMEII_BG;6;Agree;Agree;Neutral;Agree;7;MAO;0;0;summer
SMMEII_BG;6;Agree;Agree;Agree;Agree;8;Open;3;1;summer
PDH_BG;7;Agree;Agree;Agree;Agree;7;Open;8;0;summer
PDH_BG;7;Agree;Agree;Agree;Agree;8;MAO;7;0;summer
PDH_BG;7;Agree;Agree;Agree;Agree;6;MAO;5;0;summer
PDH_BG;7;Agree;Agree;Neutral;Neutral;9;MAO;5;0;summer
PDH_BG;7;Agree;Agree;Agree;Agree;9;MAO;2;0;summer
PDH_BG;7;Agree;Agree;Agree;Agree;7;MAO;7;0;summer
PDH_BG;7;Agree;Agree;Disagree;Neutral;9;MAO;1;0;summer
PDH_BG;7;Agree;Agree;Agree;Neutral;7;MAO;7;0;summer
PDH_BG;7;Agree;Agree;Agree;Agree;8;MAO;1;0;summer
PDH_BG;7;Agree;Agree;Agree;Agree;9;MAO;2;0;summer
PDH_BG;7;Agree;Agree;Agree;Agree;8;MAO;1;0;summer
PDH_BG;7;Agree;Agree;Neutral;Neutral;10;MAO;1;0;summer
MCA;7;Agree;Agree;Agree;Agree;5;MAO;10;0;summer
SMMEII_BG;7;Agree;Agree;Agree;Agree;8;MAO;4;1;summer
SMMEII_BG;7;Agree;Agree;Agree;Neutral;6;Open;2;0;summer
SMMEII_BG;7;Agree;Agree;Agree;Agree;7;MAO;9;0;summer
SMMEII_BG;7;Agree;Agree;Agree;Agree;6;Open;9;0;summer
SMMEII_BG;7;Agree;Agree;Neutral;Neutral;9;Open;3;0;summer
SMMEII_BG;7;Agree;Agree;Agree;Agree;8;MAO;8;0;summer
SMMEII_BG;7;Agree;Agree;Neutral;Neutral;8;Open;0;0;summer
SMMEII_BG;7;Agree;Agree;Agree;Agree;8;Open;3;0;summer
SMMEII_BG;7;Agree;Agree;Agree;Neutral;7;Open;5;0;summer
SMMEII_BG;7;Agree;Agree;Agree;Agree;7;MAO;;1;summer
SMMEII_BG;7;Agree;Neutral;Neutral;Agree;8;SAO;3;0;summer
SMMEII_BG;7;Agree;Agree;Agree;Agree;6;Open;7;0;summer
SMMEII_BG;7;Agree;Agree;Neutral;Agree;10;Open;0;0;summer
SMMEII_BG;7;Agree;Agree;Agree;Agree;8;Open;3;0;summer
SMMEII_BG;7;Agree;Agree;Agree;Agree;9;MAO;2;0;summer
SMMEII_BG;7;Agree;Agree;Agree;Disagree;10;MAO;0;0;summer
SMMEII_BG;7;Neutral;Disagree;Disagree;Neutral;10;MAO;6;0;summer
SMMEII_BG;7;Agree;Agree;Agree;Agree;7;Open;2;0;summer
SMMEII_BG;7;Disagree;Neutral;Neutral;Disagree;9;MAO;1;0;summer
SMMEII_BG;7;Agree;Agree;Agree;Neutral;8;Open;3;0;summer
SMMEII_BG;7;Agree;Agree;Agree;Agree;7;MAO;4;0;summer
PDH_BG;8;Agree;Disagree;Agree;Agree;7;Open;7;0;summer
PDH_BG;8;Agree;Agree;Agree;Agree;8;MAO;5;0;summer
PDH_BG;8;Agree;Agree;Agree;Agree;8;MAO;5;0;summer
PDH_BG;8;Neutral;Agree;Neutral;Agree;4;MAO;5;0;summer
PDH_BG;8;Neutral;Agree;Disagree;Agree;8;MAO;4;0;summer
PDH_BG;8;Disagree;Disagree;Disagree;Disagree;10;Open;2;0;summer
PDH_BG;8;Agree;Agree;Agree;Agree;6;MAO;10;0;summer
PDH_BG;8;Agree;Agree;Agree;Agree;5;MAO;0;0;summer
PDH_BG;8;Agree;Agree;Neutral;Agree;10;MAO;0;0;summer
PDH_BG;8;Agree;Agree;Agree;Agree;7;MAO;8;0;summer
PDH_BG;8;Neutral;Agree;Agree;Agree;6;MAO;4;0;summer
PDH_BG;8;Neutral;Agree;Neutral;Agree;7;MAO;7;0;summer
MCA;8;Agree;Agree;Agree;Agree;7;MAO;7;0;summer
MCA;8;Agree;Agree;Agree;Agree;9;Open;9;0;summer
MCA;8;Agree;Agree;Agree;Agree;6;MAO;8;0;summer
MCA;8;Agree;Agree;Agree;Agree;8;Open;9;0;summer
MCA;8;Agree;Agree;Agree;Agree;9;Open;10;0;summer
MCA;8;Agree;Agree;Agree;Agree;2;MAO;7;0;summer
MCA;8;Agree;Agree;Agree;Neutral;8;Open;7;0;summer
MCA;8;Agree;Neutral;Agree;Agree;8;MAO;7;0;summer
MCA;8;Agree;Agree;Agree;Agree;7;Open;9;0;summer
MCA;8;Agree;Agree;Agree;Agree;5;Open;10;0;summer
SMMEII_BG;8;Agree;Agree;Neutral;Agree;7;MAO;5;0;summer
SMMEII_BG;8;Agree;Agree;Agree;Agree;7;Ranking;3;0;summer
SMMEII_BG;8;Agree;Agree;Agree;Agree;7;Open;8;0;summer
SMMEII_BG;8;Agree;Agree;Agree;Neutral;9;MAO;5;0;summer
SMMEII_BG;8;Agree;Agree;Agree;Agree;8;Open;1;0;summer
SMMEII_BG;8;Agree;Agree;Agree;Agree;8;Open;3;0;summer
SMMEII_BG;8;Agree;Neutral;Agree;Neutral;9;Open;1;0;summer
SMMEII_BG;8;Agree;Agree;Neutral;Agree;7;MAO;3;0;summer
SMMEII_BG;8;Agree;Agree;Agree;Agree;9;Open;8;0;summer
SMMEII_BG;8;Agree;Neutral;Agree;Neutral;5;Open;2;0;summer
SMMEII_BG;8;Neutral;Neutral;Neutral;Neutral;9;Open;0;0;summer
SMMEII_BG;8;Agree;Agree;Agree;Neutral;9;Ranking;3;0;summer
SMMEII_BG;8;Neutral;Agree;Neutral;Neutral;10;Open;1;0;summer
SMMEII_BG;8;Agree;Agree;Agree;Neutral;8;MAO;;0;summer
